Lið,Tímabil,Leikir,Mörk,Skot%,Víti,Víta%,Hraða.,Hraða%,Mörk á,Varin,% Varsla,Víti Varin,Víta %,Stoð,Sk.F,Fi.Víti,TB,Frk,Stl,Blk,Stopp,Gul,2Mín,Rau
KA/Thor,2022/23,24,23.9,51.5,3.2,77.6,2.1,77.3,26.2,12.7,32.6,0.6,22.1,9,14.1,4.1,13.8,3,3.8,1.4,16.6,0.7,2.3,0
KA/Thor,2021/22,27,27.9,59.5,4.4,81.5,3.9,79.5,25.9,11.1,30,0.7,16.7,14.4,22.8,5.4,11.1,3.5,4.8,1.4,20.2,0.8,2.7,0
KA/Thor,2020/21,19,25.2,58.7,4.4,75.5,2.5,80,22.5,12,34.8,0.4,10.4,11,16.7,5.8,10.5,2.8,4.7,2.4,21.4,0.8,2.7,0.2
KA/Thor,2019/20,18,23.8,49.1,3.4,77.2,2.1,68.5,27.9,11.8,29.7,0.8,18.1,10.2,15.2,4.4,11.3,3.1,4.3,1.6,24.7,0.9,3.6,0.1
KA/Thor,2018/19,21,23.5,51.7,3.2,81,2.1,71.4,25.3,12.8,33.6,0.8,21.1,9.1,13.3,3.7,12.8,2.4,4.6,1.3,18.3,0.7,3,0.1
Selfoss,2022/23,21,25.8,51.8,2.4,76.9,2.5,74.6,30.8,12.2,28.4,0.7,15.9,9.4,15.1,3.1,12.9,3.5,5.3,2.5,16,0.6,3,0.2
Selfoss,2018/19,21,23.6,50.7,2.2,71.2,2.4,80.6,27.3,11.5,29.6,0.4,17.3,8.5,12,2.8,12.2,2.8,3.8,1.8,16,0.5,1.6,0
Stjarnan,2023/24,5,23.6,53.2,3.4,81,2.8,87.5,28.6,9.2,24.3,0.6,18.8,7.8,11.6,4.2,11.6,2,5.2,0.8,19.4,1,1.8,0
Stjarnan,2022/23,28,26.6,57.8,2.6,79.6,3.6,78.1,24.1,13.5,35.9,0.5,13.8,11.6,15.9,3.4,12.3,4,4.1,2.9,16.5,0.9,3.1,0.1
Stjarnan,2021/22,24,26,54.6,3,71,2.6,82.7,26.1,14.8,36.2,0.8,17,11.9,17.4,4.2,12.4,3,4.7,2.3,16.7,0.8,3,0
Stjarnan,2020/21,16,25.2,53.4,3.2,77.3,2.7,82.7,25.9,11.2,30.2,0.8,23.1,9,14.1,4.1,12.4,2.3,4.7,2.3,20.1,0.8,2.5,0
Stjarnan,2019/20,18,25.2,57.3,3.1,78.9,3.9,82.6,24.3,9.9,28.9,0.7,16.4,11.7,17,3.9,10.8,1.7,5.4,1.3,25.2,0.8,2.6,0
Stjarnan,2018/19,21,23.9,54.7,2.9,79.2,2.3,79,26,11.5,30.7,0.3,10.1,9.8,14.5,3,10.6,1.8,4,1.1,17,0.8,2.8,0
Valur,2023/24,5,29.6,62.7,3.6,81.8,3.4,68,19.2,11.8,38.1,0.6,21.4,13,19.6,4.4,8.4,1.4,6.4,4.8,17.6,0.8,0.6,0
Valur,2022/23,28,28.5,59.4,3.5,81,2.6,69.8,23.6,11.6,33,0.5,19,12.4,18.1,4.3,8.7,2.8,4.6,4.8,21.3,0.6,1.7,0.1
Valur,2021/22,29,26.7,57.3,3.5,75.4,2.7,75,23.8,11.9,33.3,0.3,9.4,11,16.1,4.6,10.5,2.3,4,4,22.7,0.8,1.6,0
Valur,2020/21,20,26,56,2.7,80.6,2.3,69.7,22,11.7,34.7,0.6,17.1,6.8,10.7,3.4,9,2.2,4.1,5.4,22.3,0.7,2,0
Valur,2019/20,18,27.6,57.5,4.1,74.5,3.4,80.5,21,15.6,42.6,0.3,10.3,11.7,18.4,5.4,10.8,2.3,4.3,2.9,22.6,0.8,2,0
Valur,2018/19,27,26.1,56.4,3.4,82.9,3.7,73.2,20.1,15,42.7,0.6,18.8,9.9,13.9,3.9,12.1,2.7,4.5,4.9,22.4,0.7,1.8,0
