Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,Sto,Sk.F,FiV,TB,Frk,Stl,Blk,Stp,Gul,2m,Rau
Stjarnan,Anna Karen Hansdóttir,2022/23,28,2.5,72.4,0,0,0.3,0.4,0.2,0.5,0.5,0.1,0.1,1.5,0.1,0.2,0
Stjarnan,Anna Karen Hansdóttir,2021/22,23,2.7,70,0,0,0.2,0.2,0.2,0.1,0.7,0.2,0.1,1.4,0,0,0
Stjarnan,Anna Karen Hansdóttir,2020/21,15,1.7,57.8,0,0,0,0,0.3,0.3,0.3,0.3,0,1.1,0.1,0.1,0
Afturelding,Anna Katrín Bjarkadóttir,2023/24,4,2,53.3,0,0,1.5,2.5,0.8,2.5,0.3,0.8,0,3.3,0.3,0,0
Afturelding,Anna Katrín Bjarkadóttir,2021/22,6,1.7,50,0.3,66.7,0.5,1,0.8,1.5,0.2,0.8,0,0.7,0,0.2,0
Stjarnan,Anna Lára Davíðsdóttir,2023/24,5,0.2,33.3,0,0,0,0,0,0.6,0,0,0,0,0,0.2,0
Haukar,Anna Lára Davíðsdóttir,2022/23,24,0.3,40,0,0,0.1,0.1,0,0,0,0,0,0.3,0,0,0
Haukar,Anna Lára Davíðsdóttir,2021/22,17,0.1,66.7,0,0,0.1,0.2,0,0.2,0,0,0,0.1,0,0,0
IR,Anna María Aðalsteinsdóttir,2023/24,5,0.6,75,0,0,0.2,0.2,0.2,0.4,0,0,1,1.8,0,0.6,0
KA/Thor,Anna Mary Jónsdóttir,2022/23,12,0.6,46.7,0.1,50,0.2,0.5,0.6,1.5,0,0.3,0,0,0,0.2,0
KA/Thor,Anna Mary Jónsdóttir,2021/22,21,0.4,38.1,0.1,66.7,0.3,0.3,0.2,0.7,0,0.1,0,0.3,0,0.1,0
KA/Thor,Anna Mary Jónsdóttir,2020/21,15,0.1,33.3,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0
KA/Thor,Anna Mary Jónsdóttir,2019/20,4,0.3,50,0,0,0,0,0,0.5,0.3,0,0,0,0,0,0
KA/Thor,Anna Mary Jónsdóttir,2018/19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valur,Anna Úrsúla Guðmundsdóttir,2023/24,5,1.8,69.2,0,0,0.4,0.6,0.2,0.8,0.2,0.8,2.4,2,0.4,0.2,0
Valur,Anna Úrsúla Guðmundsdóttir,2020/21,10,1,71.4,0,0,0.6,0.9,0.5,0.5,0.1,0.4,3.5,3.3,0.2,0.2,0
Valur,Anna Úrsúla Guðmundsdóttir,2018/19,27,1.7,61.6,0,100,0.7,0.9,0.6,0.9,0.5,0.7,3.2,3.9,0.1,0.3,0
HK,Anna Valdís Garðarsdóttir,2022/23,5,0.2,100,0,0,0,0,0,0.2,0,0,0,0.4,0,0.2,0
KA/Thor,Anna Þyrí Halldórsdóttir,2023/24,5,1.6,72.7,0,0,0,0,0.8,0,0,0,0,4,0,0.2,0
KA/Thor,Anna Þyrí Halldórsdóttir,2022/23,21,1.2,68.4,0,0,0.2,0.2,1.1,0.1,0.3,0.1,0.1,3.7,0.1,0.1,0
KA/Thor,Anna Þyrí Halldórsdóttir,2021/22,26,0.5,43.8,0,0,0,0,0.6,0.3,0.2,0.2,0,3.5,0.2,0.2,0
KA/Thor,Anna Þyrí Halldórsdóttir,2020/21,19,1.2,59.5,0,0,0.2,0.3,1.1,0.4,0.3,0.2,0.1,4.6,0.3,0.2,0
KA/Thor,Anna Þyrí Halldórsdóttir,2019/20,18,1.1,90.9,0,0,0.1,0.1,1.1,0.4,0.2,0.1,0,1.9,0.1,0.1,0
KA/Thor,Anna Þyrí Halldórsdóttir,2018/19,21,0.9,56.3,0,0,0.1,0.2,0.7,1,0.1,0.1,0,1.3,0,0,0
