Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,Sto,Sk.F,FiV,TB,Frk,Stl,Blk,Stp,Gul,2m,Rau
KA,Allan Nordberg,2019/20,19,2.3,62,0,0,0.5,0.6,0.3,0.8,0.5,0.7,0,1.5,0,0.4,0
KA,Allan Nordberg,2018/19,20,2.9,55.9,0,0,0.7,0.9,0.3,0.9,0.8,1.1,0.1,1.2,0.1,0.4,0
Valur,Allan Norðberg Norðberg,2023/24,6,2.7,76.2,0,0,0.5,0.7,0.3,0,0.2,0.3,0,1,0,0.2,0
Selfoss,Alvaro Mallols Fernandez,2023/24,5,0.8,50,0,0,0.4,0.6,0.2,0.8,0.6,0,0,1.8,0,0.2,0
IBV,Andrés Marel Sigurðsson,2022/23,3,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0.3,0
IBV,Andrés Marel Sigurðsson,2021/22,11,0.9,52.6,0,0,0.1,0.1,0,0.1,0.4,0.3,0,0.4,0,0.2,0
Valur,Andri Finnsson,2023/24,6,2,70.6,0,0,0,0,0.7,0,0.2,0,0,0,0,0.2,0
IBV,Andri Erlingsson,2023/24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valur,Andri Finnsson,2022/23,2,0.5,50,0,0,0,0,0,0.5,0,0,0,0,0,0,0
FH,Andri Clausen,2022/23,23,0,0,0,0,0.1,0.1,0,0,0,0.1,0,1.2,0,0.1,0
FH,Andri Clausen,2021/22,5,0,0,0,0,0,0,0,0.2,0,0,0,0.6,0,0,0
Valur,Andri Finnsson,2021/22,5,0.4,40,0,0,0,0,0,0,0.2,0.2,0,0.4,0,0,0
Valur,Andri Finnsson,2020/21,15,0.3,45.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Vikingur,Andri Berg Haraldsson,2023/24,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
Vikingur,Andri Dagur Ófeigsson,2021/22,20,0.7,41.2,0,0,0.5,0.8,0.1,0.5,0.2,0.4,0.8,3.6,0.3,0.7,0
Selfoss,Andri Dagur Ófeigsson,2020/21,13,0.1,33.3,0,0,0.1,0.1,0,0,0.1,0.1,0.2,0.7,0.1,0.1,0
Fram,Andri Dagur Ófeigsson,2019/20,19,1.1,56.8,0,0,0.4,0.6,0.2,0.6,0,0.1,0,1.6,0,0.2,0
Fram,Andri Dagur Ófeigsson,2018/19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grotta,Andri Fannar Elísson,2023/24,3,1.7,71.4,0.3,50,0,0,0,0.3,0,0,0,0,0,0.3,0
Haukar,Andri Fannar Elísson,2022/23,20,0.3,62.5,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0
Haukar,Andri Fannar Elísson,2021/22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,Andri Freyr Ármannsson,2022/23,21,0,33.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0
IR,Andri Heimir Friðriksson,2020/21,21,2.7,40.3,0.4,61.5,2,3,0.5,1.3,0.3,0.7,0.3,1.7,0.1,0.7,0
Fram,Andri Heimir Friðriksson,2019/20,19,3.1,48.7,0,0,2.1,2.9,0.8,1.6,0.4,0.6,0.4,1.8,0.1,0.5,0
Fram,Andri Heimir Friðriksson,2018/19,19,1.5,40,0,0,0.6,1.1,0.2,0.8,0.1,0.5,0.4,1.6,0.1,0.4,0.1
Stjarnan,Andri Hjartar Grétarsson,2018/19,24,1.6,64.4,0,0,0.1,0.1,0,0.2,0.1,0.2,0,0.4,0,0.1,0
Haukar,Andri Már Rúnarsson,2022/23,34,5.4,52.3,0,0,2.6,3.7,0.6,1.8,0.4,0.4,0.2,2.6,0,0.4,0
Fram,Andri Már Rúnarsson,2020/21,22,4.5,52.9,0.2,57.1,0.9,1.4,0.8,1.6,0.4,0.3,0,1.1,0,0.1,0
Stjarnan,Andri Már Rúnarsson,2019/20,20,2.1,46.1,0,0,0.7,1.1,0.6,1.4,0.2,0.3,0.1,0.8,0,0.2,0
Stjarnan,Andri Már Rúnarsson,2018/19,22,1.2,57.4,0,0,0.2,0.4,0.2,0.5,0,0.1,0,0,0,0,0
IBV,Andri Snær Andersen,2022/23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBV,Andri Snær Andersen,2021/22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA,Andri Snær Stefánsson,2020/21,18,0.8,55.6,0.1,100,0.1,0.1,0.1,0.3,0.1,0.2,0,0.1,0,0,0
KA,Andri Snær Stefánsson,2019/20,20,2.1,70.7,1.8,72,0.1,0.1,0.1,0.2,0.1,0.1,0,0.2,0,0.1,0
KA,Andri Snær Stefánsson,2018/19,22,1.5,75,1,77.8,0.1,0.1,0.1,0.1,0.3,0.1,0,0.3,0,0.1,0
Afturelding,Andri Þór Helgason,2023/24,5,0.6,75,0,0,0,0,0,0,0.4,0.6,0,0.2,0,0,0
Grotta,Andri Þór Helgason,2022/23,22,1.8,66.7,0.9,70.4,0.1,0.2,0.1,0.2,0.4,0.2,0,0.2,0,0.2,0
Grotta,Andri Þór Helgason,2021/22,22,5.1,70,2.4,80.3,0.4,0.6,0.2,0.2,0.5,0.7,0,0.3,0,0,0
Grotta,Andri Þór Helgason,2020/21,22,4.5,72.1,2.5,83.3,0.2,0.3,0.4,0.2,0.5,0.5,0,0.2,0,0.1,0
Stjarnan,Andri Þór Helgason,2019/20,20,2.8,61.5,0.5,83.3,0.3,0.4,0.2,0.4,0.4,0.5,0,0.3,0,0.2,0
Fram,Andri Þór Helgason,2018/19,22,3.8,68.9,1.3,80,0.6,0.8,0.1,0.4,0.2,0.3,0,0.4,0,0.1,0
Grotta,Antoine Óskar Pantano,2023/24,5,0.8,57.1,0,0,1.4,1.8,0.4,0.4,0.2,0,0,0,0,0.6,0.2
Grotta,Antoine Óskar Pantano,2022/23,16,0.2,75,0,0,0.2,0.2,0.1,0.1,0,0,0,0.1,0,0,0
Valur,Anton Rúnarsson,2020/21,27,4.9,64.5,1.8,76.2,2.6,3.9,0.3,1.5,0.1,0.3,0,1.4,0.1,0.2,0
Valur,Anton Rúnarsson,2019/20,20,6,69,2.8,82.1,2.4,3.4,0.3,1.7,0.4,0.7,0.3,1.6,0.1,0.6,0.1
Valur,Anton Rúnarsson,2018/19,27,5.3,65.8,2.2,80,3.2,4.5,0.4,1.6,0.4,0.3,0,2.1,0.1,0.3,0
Selfoss,Anton Breki Hjaltason,2023/24,4,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Hordur,Anton Freyr Traustason,2022/23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH,Ari Magnús Þorgeirsson,2021/22,7,0.7,50,0,0,0.6,1,0,0.4,0,0.1,0,0.4,0,0.1,0
FH,Ari Magnús Þorgeirsson,2020/21,21,0.1,14.3,0,0,0.6,0.8,0,0.2,0.3,0.1,0,1,0,0.1,0
Stjarnan,Ari Magnús Þorgeirsson,2019/20,20,3.1,49.2,0,0,2.3,3.7,0.2,1.4,0.1,0.8,0.1,2.4,0.2,0.3,0
Stjarnan,Ari Magnús Þorgeirsson,2018/19,18,2.1,50.7,0.1,66.7,1.2,1.8,0,1.1,0.2,0.3,0,1.7,0,0.2,0
Grotta,Ari Pétur Eiríksson,2023/24,5,2.2,50,0,0,2.8,3.8,0.2,2.4,0.8,0.2,0,1,0,0,0
Grotta,Ari Pétur Eiríksson,2022/23,22,1.4,51.7,0,0,0.9,1.5,0.1,0.8,0,0,0,0.2,0.1,0,0
Grotta,Ari Pétur Eiríksson,2021/22,20,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Grotta,Ari Pétur Eiríksson,2020/21,14,0.1,100,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0
Grotta,Ari Pétur Eiríksson,2018/19,7,0.3,66.7,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0
HK,Ari Sverrir Magnússon,2023/24,6,0.8,55.6,0,0,0,0,0.2,0.2,0.3,0.2,0,0.3,0,0.2,0.2
Stjarnan,Ari Sverrir Magnússon,2022/23,20,0.7,56,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0,0.2,0,0.2,0
Stjarnan,Ari Sverrir Magnússon,2021/22,17,0.2,60,0,0,0,0,0,0.1,0,0,0,0,0,0,0
Selfoss,Ari Sverrir Magnússon,2019/20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selfoss,Ari Sverrir Magnússon,2018/19,7,0.3,66.7,0.3,100,0,0,0,0,0,0,0,0,0,0,0
FH,Ari Valur Atlason,2022/23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH,Ari Valur Atlason,2021/22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,Arnar Freyr Guðmundsson,2022/23,22,5,46.2,1.6,73.5,1.4,2,0.2,1.2,0.1,0.3,0.1,1.2,0,0.1,0
Stjarnan,Arnar Freyr Ársælsson,2022/23,13,3.3,62.3,0,0,0.2,0.2,0.3,0.2,0.5,0.2,0,3,0.1,0.5,0
KA,Arnar Freyr Ársælsson,2021/22,24,2,51.1,0,0,0.4,0.4,0.1,0.1,0.4,0.4,0,3.7,0.1,0.5,0
FH,Arnar Freyr Ársælsson,2020/21,17,2.6,74.6,0,0,0.3,0.4,0.2,0.5,0.7,0.2,0.1,2.4,0.1,0.5,0
IR,Arnar Freyr Guðmundsson,2019/20,16,0.8,44.4,0,0,0.5,0.7,0.1,0.5,0.1,0,0,0.4,0,0,0
FH,Arnar Freyr Ársælsson,2019/20,19,3.4,63.7,0,0,0.3,0.4,0.2,0.3,0.6,0.7,0.2,2.4,0.2,0.5,0
FH,Arnar Freyr Ársælsson,2018/19,22,3.1,63.9,0,0,0.1,0.1,0.2,0.1,0.6,0.6,0.2,3,0.1,0.6,0
IR,Arnar Freyr Guðmundsson,2018/19,19,3,57,0.1,25,0.9,1.4,0.2,0.6,0.2,0,0,0.7,0,0.2,0
Vikingur,Arnar Gauti Grettisson,2021/22,22,0.9,60.6,0,0,0,0,0.1,0.4,0.4,0.2,0,0.3,0,0.1,0
Vikingur,Arnar Huginn Ingason,2021/22,13,1.2,60,0.4,83.3,0.2,0.2,0.1,0.2,0.2,0.2,0,0.7,0.1,0.2,0
Grotta,Arnar Jón Agnarsson,2018/19,9,2.3,60,0,0,0.7,1.4,0.2,1.6,0.1,0.1,0.1,1.8,0,0.1,0.1
Stjarnan,Arnar Máni Rúnarsson,2020/21,13,1,68.4,0,0,0.1,0.1,0.2,0.1,0.2,0,0,0.5,0,0.2,0
Fjolnir,Arnar Máni Rúnarsson,2019/20,18,2.3,85.7,0,0,0.5,0.5,0.7,0.3,0.5,0.6,0.3,1.7,0.2,0.3,0
Fram,Arnar Snær Magnússon,2023/24,4,0.8,100,0,0,0,0,0.3,0,0,0,0,0,0,0,0
Fram,Arnar Snær Magnússon,2022/23,18,0.9,73.9,0,0,0,0,0.1,0.3,0.1,0.1,0,0.2,0.1,0,0
Fram,Arnar Snær Magnússon,2021/22,18,0.3,41.7,0,0,0.1,0.2,0.2,0.2,0.1,0.2,0,0.2,0,0,0
Fram,Arnar Snær Magnússon,2020/21,21,1.6,68,0,0,0.1,0.1,0.4,0.3,0.5,0,0,0.2,0,0.1,0
Fram,Arnar Snær Magnússon,2019/20,19,2.2,73.7,0,0,0.4,0.7,0.4,1.1,0.5,0.4,0.1,1,0,0.2,0
Fram,Arnar Snær Magnússon,2018/19,15,0.6,75,0,0,0,0,0.2,0.2,0.2,0.2,0,0.1,0,0,0
Vikingur,Arnar Steinn Arnarsson,2023/24,5,1.4,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Vikingur,Arnar Steinn Arnarsson,2021/22,20,1.8,50,0,0,0.1,0.2,0.1,0.4,0.4,0.2,0,0.3,0,0.1,0
IBV,Arnór Viðarsson,2023/24,4,4.8,54.3,0,0,2.5,3.5,0.8,1.5,0.3,0.8,1.8,4.8,0.3,0.5,0
HK,Arnór Róbertsson,2023/24,5,0.4,33.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0
