Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
FH,Andrea Valdimarsdóttir,2020/21,13,0.9,75,0,0,0.2,0,0.1,0,0.1,0.3,0,0.25,0.2,0.6,0,0.7,0.1,0,0,5.5
Stjarnan,Andrea Valdimarsdóttir,2017/18,7,0.1,100,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0.3,0,0,0,5.2
Fjolnir,Andrea Jacobsen,2017/18,21,5.1,46.7,0.7,78.9,0.5,2.8,4.4,63.4,0.6,2,1.4,2.21,1,1.3,0.9,1.6,0.1,0.1,0,7
Haukar,Andrea Mist Grettisdóttir,2022/23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Afturelding,Andrea Ósk Þorkelsdóttir,2019/20,12,0.2,66.7,0,0,0.1,0,0,0,0,0.3,0,0,0.1,0,0,0.3,0,0.1,0,5
IBV,Anika Hera Hannesdóttir,2021/22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Stjarnan,Aníta Theodórsdóttir,2022/23,20,0.6,91.7,0,0,0.1,0.2,0.2,100,0,0.2,1,1,0.1,0.1,0.1,0.4,0,0.2,0,5.3
FH,Aníta Theodórsdóttir,2020/21,13,0.7,52.9,0,0,0.7,0.4,0.4,100,0,0.8,0.45,0.45,0.6,0.2,0,2.2,0,0.3,0,5.5
Stjarnan,Aníta Theodórsdóttir,2017/18,10,0.7,58.3,0,0,0.4,0.2,0.2,100,0,0.4,0.5,0.5,0.4,0.1,0.1,0.6,0,0.2,0,5.4
IBV,Aníta Björk Valgeirsdóttir,2021/22,18,0.1,28.6,0,0,0.1,0.2,0.3,75,0,0.2,0.75,1,0,0,0,0.2,0.1,0,0,5
IBV,Aníta Björk Valgeirsdóttir,2020/21,17,0.1,50,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,5
IBV,Aníta Björk Valgeirsdóttir,2019/20,13,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,5
HK,Aníta Eik Jónsdóttir,2022/23,21,1.9,50,0,0,0.2,0.6,1,60,0,1,0.6,1,0.1,0.2,0,2.8,0.2,0.4,0,5.7
