Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
FH,Svavar Ingi Sigmundsson,2021/22,25,2,26.8,5.4,0.2,21.4,0,0.1,0,0,0,0,0
KA,Svavar Ingi Sigmundsson,2020/21,13,0.8,25,2.3,0,0,0,0,0,0,0,0,0
KA,Svavar Ingi Sigmundsson,2019/20,20,2.9,26.9,7.9,0.5,32.1,0,0,0,0,0,0,0
KA,Svavar Ingi Sigmundsson,2018/19,20,0.3,14.3,1.5,0.1,7.7,0,0,0.1,0,0,0,0
Stjarnan,Sveinbjörn Pétursson,2019/20,3,7.3,28.9,18,0,0,0.3,0,0,0,0,0,0
Stjarnan,Sveinbjörn Pétursson,2018/19,22,9.7,35.3,17.9,0.2,11.6,0,0,0.3,0.1,0,0,0
Stjarnan,Sveinbjörn Pétursson,2017/18,22,7.5,30.4,17.1,0.4,20,0.2,0.1,0.2,0.2,0,0,0
Vikingur,Sverrir Andrésson,2023/24,12,5.5,24.4,17,0.8,34.6,0.2,0,0.3,0.2,0,0,0
Vikingur,Sverrir Andrésson,2021/22,11,3.5,29.5,8.3,0.1,10,0.1,0.1,0.3,0.1,0,0,0
Grotta,Sverrir Andrésson,2018/19,21,2.2,29.7,5.3,0,10,0,0,0.1,0,0,0,0
Selfoss,Sölvi Ólafsson,2021/22,28,2,29.1,5,0.1,12.1,0,0,0.1,0,0,0,0
Selfoss,Sölvi Ólafsson,2020/21,18,0,0,0.1,0,0,0,0,0,0,0,0,0
Selfoss,Sölvi Ólafsson,2019/20,17,4,25.7,11.6,0.8,29.5,0.1,0,0,0.1,0,0,0
Selfoss,Sölvi Ólafsson,2018/19,28,6.2,31.6,13.4,0.3,19.5,0,0,0.1,0,0,0,0
Selfoss,Sölvi Ólafsson,2017/18,27,6.2,30.5,14.1,0.2,13.9,0,0,0.2,0,0,0,0
Fram,Valtýr Már Hákonarson,2021/22,11,2.6,25.2,7.8,0.2,13.3,0,0.2,0.1,0,0,0,0
Fram,Valtýr Már Hákonarson,2020/21,20,0.9,31,2,0.3,42.9,0,0,0,0,0,0,0
Fram,Valtýr Már Hákonarson,2019/20,20,1.4,28.9,3.5,0.1,6.7,0.1,0,0,0,0,0,0
Fram,Valtýr Már Hákonarson,2018/19,9,1,23.7,3.2,0,0,0,0,0,0,0,0,0
Fram,Valtýr Már Hákonarson,2017/18,16,3.1,31.8,6.6,0.2,21.4,0,0.1,0,0,0,0,0
IR,Viktor Bjarki Ómarsson,2020/21,5,1,23.8,3.2,0,0,0,0,0,0,0,0,0
Fram,Viktor Gísli Hallgrímsson,2018/19,22,9.5,31.5,20.8,0.6,29.2,0,0.1,0.4,0.3,0,0,0
Fram,Viktor Gísli Hallgrímsson,2017/18,22,9.6,28.3,24.5,0.6,25,0,0.2,0.4,0.1,0,0,0
Selfoss,Vilius Rasimas,2023/24,21,6.2,29.3,14.9,0.5,25.6,0,0,0,0.1,0,0,0
Selfoss,Vilius Rasimas,2022/23,23,9.3,31.5,20.3,0.4,25,0,0,0.2,0.2,0,0,0
Grotta,Þórður Magnús Árnason,2023/24,2,0,0,0,0,0,0,0,0,0,0,0,0
