Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
Afturelding,Bjarki Snær Jónsson,2020/21,15,1.6,26.1,4.5,0.3,44.4,0,0,0,0,0,0,0
Fjolnir,Bjarki Snær Jónsson,2019/20,16,9.8,28.3,24.8,0.3,13.2,0,0.2,0.3,0.2,0,0,0
Fjolnir,Bjarki Snær Jónsson,2017/18,18,5.2,28.1,13.3,0.2,13.6,0,0,0,0,0,0,0
Afturelding,Björgvin Franz Björgvinsson,2021/22,4,1.5,26.1,4.3,0,0,0,0,0,0,0,0,0
Afturelding,Björgvin Franz Björgvinsson,2020/21,8,2,18.8,8.6,0.1,20,0,0,0,0,0,0,0
Afturelding,Björgvin Franz Björgvinsson,2019/20,19,1.7,33,3.5,0.3,29.4,0.1,0.1,0,0,0,0,0
Afturelding,Björgvin Franz Björgvinsson,2018/19,9,1.2,19.3,5.1,0.1,16.7,0,0,0,0,0,0,0
Afturelding,Björgvin Franz Björgvinsson,2017/18,1,2,25,6,1,50,0,0,0,0,0,0,0
Valur,Björgvin Páll Gústavsson,2023/24,28,12.3,34.8,23.1,0.6,24.6,0.1,0.4,1,0.5,0,0,0
Valur,Björgvin Páll Gústavsson,2022/23,22,10.8,32.5,22.5,0.5,16.4,0.2,0.2,0.8,0.5,0.2,0,0
Valur,Björgvin Páll Gústavsson,2021/22,30,12.4,35.7,22.3,0.8,28,0.1,0.2,0.9,0.6,0.1,0,0
Haukar,Björgvin Páll Gústavsson,2020/21,27,8.7,34.7,16.4,0.4,20.7,0.1,0.1,0.6,0.3,0.1,0,0
Haukar,Björgvin Páll Gústavsson,2017/18,27,13.4,38.7,21.2,0.5,26.4,0.2,0.5,1.4,0.4,0,0,0
IBV,Björn Viðar Björnsson,2022/23,1,2,20,8,0,0,0,0,0,0,0,0,0
IBV,Björn Viðar Björnsson,2021/22,32,5.2,29.3,12.5,0.4,23.1,0.1,0,0.2,0.1,0,0.1,0
IBV,Björn Viðar Björnsson,2020/21,26,3.5,27.4,9.4,0.2,15.4,0,0,0.2,0.1,0,0,0
IBV,Björn Viðar Björnsson,2019/20,19,4.7,32.8,9.6,0.1,7.1,0.1,0.1,0.1,0.1,0,0.1,0
IBV,Björn Viðar Björnsson,2018/19,29,7.5,30.3,17.2,0.5,25,0.1,0,0.3,0.2,0,0,0
Fram,Breki Hrafn Árnason,2023/24,18,1.9,21.2,7.2,0.1,25,0,0,0.2,0,0,0,0
Fram,Breki Hrafn Árnason,2022/23,9,7.9,30.1,18.3,0.3,18.8,0,0,0,0,0,0,0
KA,Bruno Bernat,2023/24,24,8,31.3,17.7,0.4,17.6,0,0,0.6,0.2,0,0,0
KA,Bruno Bernat,2022/23,22,6.3,32,13.3,0.4,28.6,0,0,0.7,0.4,0,0,0
KA,Bruno Bernat,2021/22,25,3,25.5,8.8,0.2,15.6,0,0,0.4,0.1,0,0,0
KA,Bruno Bernat,2020/21,11,1.9,32.8,3.9,0.2,20,0,0,0.1,0,0,0,0
Stjarnan,Brynjar Darri Baldursson,2021/22,6,7.8,33.1,15.8,0.3,20,0.2,0,0,0.3,0,0,0
Stjarnan,Brynjar Darri Baldursson,2020/21,12,5,26.7,13.8,0.4,22.7,0.1,0,0.2,0.1,0,0,0
Stjarnan,Brynjar Darri Baldursson,2019/20,15,6,30,14,0.3,14.8,0,0.1,0.2,0.1,0,0,0
Afturelding,Brynjar Vignir Sigurjónsson,2023/24,33,7.3,31.3,15.9,0.3,25.6,0,0.1,0.3,0.1,0,0,0
Afturelding,Brynjar Vignir Sigurjónsson,2022/23,28,4,27.7,10.5,0.1,12.5,0.1,0,0.2,0,0,0,0
Afturelding,Brynjar Vignir Sigurjónsson,2021/22,13,3.1,28.8,7.6,0.3,25,0,0,0.2,0.1,0,0,0
Afturelding,Brynjar Vignir Sigurjónsson,2020/21,21,4.8,25.6,14,0.3,20.6,0,0,0.2,0.1,0,0,0
Afturelding,Brynjar Vignir Sigurjónsson,2019/20,1,0,0,0,0,0,0,0,0,0,0,0,0
Afturelding,Brynjar Vignir Sigurjónsson,2018/19,1,6,26.1,17,1,50,0,0,0,0,0,0,0
Stjarnan,Daði Bergmann Gunnarsson,2023/24,2,0.5,50,0.5,0.5,50,0,0,0,0,0,0,0
Vikingur,Daníel Andri Valtýsson,2023/24,18,6.6,27.4,17.4,0.2,8.6,0.1,0,0.2,0.2,0,0,0
Grotta,Daníel Andri Valtýsson,2022/23,16,3,32,6.4,0.1,8.3,0,0,0.1,0.1,0,0,0
Grotta,Daníel Andri Valtýsson,2020/21,20,1.4,21.8,4.9,0,0,0,0,0,0,0,0,0
FH,Daníel Freyr Andrésson,2023/24,33,12.2,32.8,24.9,1,31.1,0.1,0,0.5,0.1,0,0,0
Valur,Daníel Freyr Andrésson,2019/20,20,8.5,35.3,15.5,0.4,21.1,0.1,0.2,0.5,0.1,0,0,0
Valur,Daníel Freyr Andrésson,2018/19,27,10.9,35.6,19.7,0.3,16.4,0.3,0.3,0.6,0.1,0,0,0
Afturelding,Davíð Hlíðdal Svansson,2022/23,1,0,0,1,0,0,0,0,0,0,0,0,0
KA,Davíð Hlíðdal Svansson,2021/22,11,1.2,22,4.2,0.2,16.7,0.1,0,0,0.1,0,0,0
HK,Davíð Hlíðdal Svansson,2019/20,20,8.5,30.3,19.6,0.3,13.9,0,0.1,0.3,0.2,0,0,0
Vikingur,Davíð Hlíðdal Svansson,2017/18,14,8.9,29,21.6,0.4,16.1,0.1,0.1,0.4,0.3,0,0.1,0
Grotta,Einar Baldvin Baldvinsson,2023/24,21,11.6,32.2,24.3,0.2,14.3,0,0.2,0.9,0.4,0,0,0
Grotta,Einar Baldvin Baldvinsson,2022/23,22,10,30.5,22.9,0.4,13.8,0,0.1,1,0.5,0,0,0
Grotta,Einar Baldvin Baldvinsson,2021/22,22,11.6,30.9,25.9,0.5,19.6,0,0.4,0.9,0.8,0,0,0
Valur,Einar Baldvin Baldvinsson,2020/21,28,4.3,27.4,11.4,0.3,20,0,0.1,0.1,0.1,0,0,0
Selfoss,Einar Baldvin Baldvinsson,2019/20,19,6.1,27.5,15.9,0.2,11.8,0,0.1,0.4,0.2,0,0,0
Valur,Einar Baldvin Baldvinsson,2018/19,25,3.3,38.1,5.4,0.2,26.1,0,0,0.2,0.2,0,0,0
Valur,Einar Baldvin Baldvinsson,2017/18,24,4.2,29.5,10,0.3,20.6,0.2,0,0.2,0.2,0,0,0
Selfoss,Einar Gunnar Gunnlaugsson,2022/23,1,1,100,0,0,0,0,0,1,0,0,0,0
Vikingur,Einar Rafn Magnússon,2021/22,1,0,0,1,0,0,0,0,0,0,0,0,0
IBV,Einar Þór Jónsson,2022/23,2,0,0,2,0,0,0,0,0,0,0,0,0
IBV,Einar Þór Jónsson,2021/22,3,0.3,10,3,0,0,0,0,0,0,0,0,0
Hordur,Emannuel Evangelista,2022/23,14,4.1,26.5,11.3,0.1,10,0,0.1,0.1,0.1,0.1,0,0
Stjarnan,Finnbogi Árnason,2019/20,2,0,0,0.5,0,0,0,0,0,0,0,0,0
Haukar,Grétar Ari Guðjónsson,2019/20,20,9.2,36.1,16.3,0.2,21.1,0.1,0.2,0.2,0.2,0,0,0
Haukar,Grétar Ari Guðjónsson,2018/19,34,11.6,34.8,21.8,0.2,15,0.2,0.1,0.2,0.3,0,0,0
IR,Grétar Ari Guðjónsson,2017/18,23,12.3,32.6,25.4,0.6,22.4,0,0.2,0.4,0.2,0,0,0
IR,Guðmundur Helgi Imsland,2022/23,1,0,0,0,0,0,0,0,0,0,0,0,0
Grotta,Hannes Pétur Hauksson,2023/24,2,1.5,37.5,2.5,0.5,100,0,0,0,0,0,0,0
IBV,Haukur Jónsson,2019/20,1,0,0,1,0,0,0,0,0,0,0,0,0
