Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
Selfoss,Alexander Már Egan,2020/21,20,2.1,63.6,0,0,0.3,0.1,0.2,66.7,0.1,0.3,0.4,0.6,0.8,0.1,0.1,0.8,0,0.1,0,5.8
Selfoss,Alexander Már Egan,2019/20,19,1.7,63.5,0,0,0.2,0.1,0.2,50,0,0.2,0.25,0.5,0.5,0.3,0,0.5,0.1,0.1,0,5.6
Selfoss,Alexander Már Egan,2018/19,27,1.9,68.9,0,0,0.1,0.2,0.2,100,0,0.3,0.56,0.56,0.6,0.4,0,0.9,0,0.2,0,5.7
Selfoss,Alexander Már Egan,2017/18,7,1,58.3,0,0,0,0.1,0.1,100,0,0.1,1,1,0,0,0,0,0,0.1,0,5.2
Valur,Alexander Örn Júlíusson,2023/24,28,0,0,0,0,0,0.4,0.4,100,0,0.1,3.33,3.33,0.2,0.3,0.5,3.5,0.2,0.6,0,5.4
Valur,Alexander Örn Júlíusson,2022/23,24,0.1,100,0,0,0,0,0,0,0,0.1,0.33,0.67,0.5,0.7,1.2,3.8,0.2,0.6,0,5.7
Valur,Alexander Örn Júlíusson,2021/22,29,0.1,66.7,0,0,0,0.1,0.1,75,0,0,3,4,0.3,0.3,0.2,3.2,0.2,0.7,0,5.4
Valur,Alexander Örn Júlíusson,2020/21,27,0.5,63.6,0,0,0.2,0.1,0.2,50,0,0.4,0.36,0.73,0.1,0.8,0.5,4.6,0.2,0.6,0,5.7
Valur,Alexander Örn Júlíusson,2019/20,20,0.4,57.1,0,0,0.2,0.9,1.3,69.2,0.1,0.4,2.25,3.25,0.2,0.6,0.5,5.3,0.4,0.7,0.1,5.8
Valur,Alexander Örn Júlíusson,2018/19,26,1,50,0,0,0.2,1,1.3,77.1,0,0.5,1.93,2.5,0.3,0.4,0.4,4.2,0.2,0.7,0.2,5.7
