Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
IBV,Tanya Rós Goremykina,2019/20,2,1,33.3,2,0,0,0,0,0,0,0,0,0
IBV,Tanya Rós Goremykina,2018/19,5,0.8,28.6,2,0,0,0,0,0,0,0,0,0
IBV,Tara Sól Úranusdóttir,2022/23,21,0.4,26.7,1,0,0,0,0,0,0.1,0,0,0
IBV,Tara Sól Úranusdóttir,2021/22,1,2,100,0,0,0,0,0,0,0,0,0,0
KA/Thor,Telma Osk Thorhalssdottir,2023/24,3,0,0,0,0,0,0,0,0,0,0,0,0
KA/Thor,Telma Osk Thorhalssdottir,2022/23,10,0.2,22.2,0.7,0,0,0,0,0,0.2,0,0,0
KA/Thor,Telma Osk Thorhalssdottir,2021/22,8,0.1,20,0.5,0,0,0,0,0,0,0,0,0
Stjarnan,Tinna Húnbjörg,2021/22,22,4.7,35.4,8.5,0.3,15.8,0,0,0,0.2,0,0,0
Stjarnan,Tinna Húnbjörg,2020/21,13,6.5,27.6,17.2,0.6,26.7,0,0.2,0.5,0.1,0,0,0
Haukar,Tinna Húnbjörg,2019/20,11,3.2,30.2,7.4,0.1,9.1,0,0,0.1,0,0,0,0
Haukar,Tinna Húnbjörg,2017/18,16,2.3,33.6,4.4,0.3,26.7,0,0,0.1,0.1,0,0,0
Afturelding,Tori Lynn Gísladóttir,2023/24,1,0,0,0,0,0,0,0,0,0,0,0,0
Afturelding,Tori Lynn Gísladóttir,2021/22,3,1,30,2.3,0,0,0,0,0,0.3,0,0,0
HK,Þórfríður Arinbjarnardóttir,2022/23,9,0.3,13.6,2.1,0,0,0,0,0,0,0,0,0
HK,Þórfríður Arinbjarnardóttir,2021/22,2,0,0,0,0,0,0,0,0,0,0,0,0
