timabil,dags,heima,gestir,stig_heima,stig_gestir,leikmenn_heima,leikmenn_gestir
2025,2024-09-13T19:45:00Z,ÍBV,Stjarnan,33,31,Jason Stefánsson;Gauti Gunnarsson;Ísak Rafnsson;Andri Erlingsson;Andri Magnússon;Kristófer Ísak Bárðarson;Daniel Esteves Vieira;Pavel Miskevich;Petar Jokanovic;Sveinn José Rivera;Andrés Marel Sigurðsson;Nökkvi Snær Óðinsson;Sigtryggur Daði Rúnarsson;Kári Kristján Kristjánsson;Elís Þór Aðalsteinsson;Marino Gabrieri,Daði Bergmann Gunnarsson;Sveinn Andri Sveinsson;Jóhannes Björgvin;Rytis Kazakevicius;Hrannar Bragi Eyjólfsson;Tandri Már Konráðsson;Ísak Logi Einarsson;Jón Ásgeir Eyjólfsson;Starri Friðriksson;Sigurður Jónsson;Pétur Árni Hauksson;Jóel Bernburg;Hans Jörgen Ólafsson;Adam Thorstensen;Daníel Karl Gunnarsson;Benedikt Marinó Herdísarson
2025,2024-09-14T14:00:00Z,Fram,Fjölnir,43,28,Arnór Máni Daðason;Sigurður Bjarki Jónsson;Rúnar Kárason;Magnús Öder Einarsson;Theodór Sigurðsson;Eiður Rafn Valsson;Breki Hrafn Árnason;Tindur Ingólfsson;Þorsteinn Gauti Hjálmarsson;Reynir Þór Stefánsson;Arnar Snær Magnússon;Erlendur Guðmundsson;Max Emil Stenlund;Bjartur Már Guðmundsson;Ívar Logi Styrmisson;Arnþór Sævarsson,Viktor Berg Grétarsson;Óðinn Freyr Heiðmarsson;Róbert Dagur Davíðsson;Aðalsteinn Örn Aðalsteinsson;Brynjar Óli Kristjánsson;Elvar Þór Ólafsson;Sigurjón Ágúst Sveinsson;Victor Máni Matthíasson;Sigurður Ingiberg Ólafsson;Björgvin Páll Rúnarsson;Haraldur Björn Hjörleifsson;Óli Fannar Pedersen;Gunnar Steinn Jónsson;Aron Breki Oddnýjarson;Þorleifur Rafn Aðalsteinsson;Alex Máni Oddnýjarson
2025,2024-09-19T18:00:00Z,Haukar,ÍR,37,30,Vilius Rasimas;Geir Guðmundsson;Adam Haukur Baumruk;Kristinn Pétursson;Brynjólfur Snær Brynjólfsson;Sigurður Snær Sigurjónsson;Össur Haraldsson;Freyr Aronsson;Skarphéðinn Ívar Einarsson;Birkir Snær Steinsson;Ásgeir Bragi Bryde Þórðarson;Ólafur Ægir Ólafsson;Egill Jónsson;Aron Rafn Eðvarðsson;Þráinn Orri Jónsson;Andri Fannar Elísson,Ólafur Rafn Gíslason;Patrekur Smári Arnarsson;Bjarki Steinn Þórisson;Baldur Fritz Bjarnason;Bernard Kristján Owusu Darkoh;Bergþór Róbertsson;Eyþór Ari Waage;Hrannar Ingi Jóhannsson;Andri Freyr Ármannsson;Viktor Freyr Viðarsson;Sveinn Brynjar Agnarsson;Róbert Snær Örvarsson;Jökull Blöndal Björnsson;Arnór Freyr Stefánsson;Sigurvin Jarl Ármannsson;Marteinn Sverrir Bjarnason
2025,2024-09-19T18:30:00Z,FH,ÍBV,33,30,Daníel Freyr Andrésson;Ágúst Birgisson;Þórir Ingi Þorsteinsson;Aron Pálmarsson;Ásbjörn Friðriksson;Ingvar Dagur Gunnarsson;Jón Bjarni Ólafsson;Birkir Fannar Bragason;Jakob Martin Ásgeirsson;Gunnar Kári Bragason;Einar Örn Sindrason;Ómar Darri Sigurgeirsson;Birgir Már Birgisson;Jóhannes Berg Andrason;Garðar Ingi Sindrason;Símon Michael Guðjónsson,Dagur Arnarsson;Gauti Gunnarsson;Andri Erlingsson;Kristófer Ísak Bárðarson;Daniel Esteves Vieira;Gabríel Martinez Róbertsson;Pavel Miskevich;Petar Jokanovic;Sveinn José Rivera;Andrés Marel Sigurðsson;Nökkvi Snær Óðinsson;Sigtryggur Daði Rúnarsson;Róbert Sigurðarson;Kári Kristján Kristjánsson;Elís Þór Aðalsteinsson;Marino Gabrieri
2025,2024-09-19T19:30:00Z,Stjarnan,Valur,28,25,Daði Bergmann Gunnarsson;Sveinn Andri Sveinsson;Dagur Logi Sigurðsson;Jóhannes Björgvin;Rytis Kazakevicius;Tandri Már Konráðsson;Adam Thorstensen;Ísak Logi Einarsson;Starri Friðriksson;Sigurður Jónsson;Pétur Árni Hauksson;Jóel Bernburg;Hans Jörgen Ólafsson;Jón Ásgeir Eyjólfsson;Daníel Karl Gunnarsson;Benedikt Marinó Herdísarson,Björgvin Páll Gústavsson;Bjarni í Selvindi;Agnar Smári Jónsson;Viktor Sigurðsson;Úlfar Páll Monsi Þórðarson;Daníel Örn Guðmundsson;Ísak Gústafsson;Dagur Leó Fannarsson;Miodrag Corsovic;Magnús Óli Magnússon;Allan Norðberg;Arnar Þór Fylkisson;Þorvaldur Örn Þorvaldsson;Alexander Petersson;Kristófer Máni Jónasson;Andri Finnsson
2025,2024-09-19T20:15:00Z,Grótta,Fram,31,35,Sæþór Atlason;Lúðvík Thorberg B Arnkelsson;Jakob Ingi Stefánsson;Hafsteinn Óli Berg Ramos Rocha;Elvar Otri Hjálmarsson;Hannes Pétur Hauksson;Ari Pétur Eiríksson;Ágúst Ingi Óskarsson;Kári Kvaran;Atli Steinn Arnarson;Antoine Óskar Pantano;Magnús Gunnar Karlsson;Kári Benediktsson;Jón Ómar Gíslason;Hannes Grimm;Gunnar Dan Hlynsson,Arnór Máni Daðason;Sigurður Bjarki Jónsson;Rúnar Kárason;Magnús Öder Einarsson;Theodór Sigurðsson;Eiður Rafn Valsson;Breki Hrafn Árnason;Tindur Ingólfsson;Þorsteinn Gauti Hjálmarsson;Reynir Þór Stefánsson;Arnar Snær Magnússon;Erlendur Guðmundsson;Max Emil Stenlund;Bjartur Már Guðmundsson;Ívar Logi Styrmisson;Arnþór Sævarsson
2025,2024-09-20T18:00:00Z,Afturelding,KA,33,22,Brynjar Vignir Sigurjónsson;Þorvaldur Tryggvason;Harri Halldórsson;Ævar Smári Gunnarsson;Árni Bragi Eyjólfsson;Daníel Bæring Grétarsson;Einar Baldvin Baldvinsson;Stefán Magni Hjartarson;Leó Halldórsson;Haukur Guðmundsson;Birgir Steinn Jónsson;Blær Hinriksson;Gísli Rúnar Jóhannsson;Sveinur Olafsson;Hallur Arason;Ihor Kopyshynskyi,Patrekur Stefánsson;Daði Jónsson;Arnór Ísak Haddsson;Magnús Dagur Jónatansson;Nicolai Horntvedt Kristensen;Einar Rafn Eiðsson;Bjarni Ófeigur Valdimarsson;Logi Gautason;Jens Bragi Bergþórsson;Bruno Bernat;Dagur Árni Heimisson;Óskar Þórarinsson;Einar Birgir Stefánsson;Kamil Pedryc;Marcus Rattel;Ott Varik
2025,2024-09-20T18:00:00Z,Fjölnir,HK,28,27,Viktor Berg Grétarsson;Óðinn Freyr Heiðmarsson;Róbert Dagur Davíðsson;Aðalsteinn Örn Aðalsteinsson;Brynjar Óli Kristjánsson;Bergur Bjartmarsson;Sigurjón Ágúst Sveinsson;Victor Máni Matthíasson;Sigurður Ingiberg Ólafsson;Björgvin Páll Rúnarsson;Haraldur Björn Hjörleifsson;Óli Fannar Pedersen;Gunnar Steinn Jónsson;Aron Breki Oddnýjarson;Þorleifur Rafn Aðalsteinsson;Alex Máni Oddnýjarson,Jovan Kukobat;Kári Tómas Hauksson;Leó Snær Pétursson;Haukur Ingi Hauksson;Hjörtur Ingi Halldórsson;Ágúst Guðmundsson;Tómas Sigurðarson;Róbert Örn Karlsson;Styrmir Máni Arnarsson;Sigurður Jefferson Guarino;Benedikt Þorsteinsson;Júlíus Flosason;Andri Þór Helgason;Kristófer Stefánsson;Felix Már Kjartansson;Örn Alexandersson
2025,2024-09-23T19:15:00Z,FH,Haukar,30,29,Daníel Freyr Andrésson;Ágúst Birgisson;Aron Pálmarsson;Ásbjörn Friðriksson;Ingvar Dagur Gunnarsson;Leonharð Þorgeir Harðarson;Jón Bjarni Ólafsson;Birkir Fannar Bragason;Jakob Martin Ásgeirsson;Gunnar Kári Bragason;Einar Örn Sindrason;Ómar Darri Sigurgeirsson;Birgir Már Birgisson;Jóhannes Berg Andrason;Garðar Ingi Sindrason;Símon Michael Guðjónsson,Vilius Rasimas;Geir Guðmundsson;Adam Haukur Baumruk;Kristinn Pétursson;Brynjólfur Snær Brynjólfsson;Sigurður Snær Sigurjónsson;Hergeir Grímsson;Össur Haraldsson;Freyr Aronsson;Skarphéðinn Ívar Einarsson;Birkir Snær Steinsson;Ásgeir Bragi Bryde Þórðarson;Ólafur Ægir Ólafsson;Aron Rafn Eðvarðsson;Þráinn Orri Jónsson;Andri Fannar Elísson
2025,2024-09-25T18:00:00Z,Valur,KA,38,27,Björgvin Páll Gústavsson;Bjarni í Selvindi;Agnar Smári Jónsson;Viktor Sigurðsson;Úlfar Páll Monsi Þórðarson;Daníel Örn Guðmundsson;Ísak Gústafsson;Dagur Leó Fannarsson;Miodrag Corsovic;Magnús Óli Magnússon;Allan Norðberg;Arnar Þór Fylkisson;Þorvaldur Örn Þorvaldsson;Alexander Petersson;Kristófer Máni Jónasson;Andri Finnsson,Patrekur Stefánsson;Daði Jónsson;Arnór Ísak Haddsson;Magnús Dagur Jónatansson;Nicolai Horntvedt Kristensen;Einar Rafn Eiðsson;Bjarni Ófeigur Valdimarsson;Logi Gautason;Jens Bragi Bergþórsson;Bruno Bernat;Dagur Árni Heimisson;Einar Birgir Stefánsson;Kamil Pedryc;Marcus Rattel;Jóhann Geir Sævarsson;Ott Varik
